BaseFreq,RunFreq,AdjFreq,I,P,Var1,Var2,Var3,Var4,Var5
1900,1900,0,314,415,414,16,23,23,0,
1900,1900,0,292,386,386,17,23,23,0,
1900,1900,0,278,361,363,18,23,23,0,
1900,1900,0,231,302,303,19,23,23,0,
1900,1900,0,161,197,197,20,23,23,0,
1900,1900,0,120,61,60,21,23,23,0,
1900,1900,0,127,-19,-19,22,23,23,0,
1900,1900,0,151,-70,-68,0,23,23,0,
1900,1900,0,171,-108,-109,1,23,23,0,
1900,1900,0,157,-108,-110,2,23,23,0,
1900,1900,0,118,-40,-51,3,23,23,0,
1900,1900,0,287,225,180,4,23,23,0,
1900,1900,0,353,422,398,5,23,23,0,
1900,1900,0,299,405,408,6,23,23,0,
1900,1900,0,224,308,307,7,23,23,0,
1900,1900,0,169,206,205,8,23,23,0,
1900,1900,0,120,83,83,9,23,23,0,
1900,1900,0,120,83,83,9,23,23,0,
1900,1900,0,124,-3,-4,10,23,23,0,
1900,1900,0,119,11,11,11,23,23,0,
1900,1900,0,241,193,194,12,23,23,0,
1900,1900,0,354,406,407,13,23,23,0,
1900,1900,0,337,439,437,14,23,23,0,
1900,1900,0,333,440,435,15,23,23,0,
1900,1900,0,312,413,415,16,24,23,0,
1900,1900,0,295,387,386,17,24,23,0,
1900,1900,0,280,363,361,18,24,23,0,
1900,1900,0,231,303,302,19,24,23,0,
1900,1900,0,162,198,197,20,24,23,0,
1900,1900,0,120,62,61,21,24,23,0,
1900,1900,0,126,-19,-19,22,24,23,0,
1900,1900,0,149,-68,-70,0,24,23,0,
1900,1900,0,174,-111,-108,1,24,23,0,
1900,1900,0,164,-115,-108,2,24,23,0,
1900,1900,0,131,-72,-40,3,24,23,0,
1900,1900,0,178,90,225,4,24,23,0,
1900,1900,0,178,90,225,4,24,23,0,
1900,1900,0,366,393,422,5,24,23,0,
1900,1900,0,282,385,405,6,24,23,0,
1900,1900,0,244,319,308,7,24,23,0,
1900,1900,0,160,201,206,8,24,23,0,
1900,1900,0,121,84,83,9,24,23,0,
1900,1900,0,124,-3,-3,10,24,23,0,
1900,1900,0,118,9,11,11,24,23,0,
1900,1900,0,242,192,193,12,24,23,0,
1900,1900,0,357,406,406,13,24,23,0,
1900,1900,0,337,442,439,14,24,23,0,
1900,1900,0,328,434,440,15,22,23,0,
1900,1900,0,315,414,413,16,22,23,0,
1900,1900,0,294,389,387,17,22,23,0,
1900,1900,0,278,362,363,18,22,23,0,
1900,1900,0,231,303,303,19,22,23,0,
1900,1900,0,161,198,198,20,22,23,0,
1900,1900,0,121,62,62,21,22,23,0,
1900,1900,0,127,-18,-19,22,22,23,0,
1900,1900,0,149,-68,-68,0,22,23,0,
1900,1900,0,149,-68,-68,0,22,23,0,
1900,1900,0,173,-110,-111,1,22,23,0,
1900,1900,0,164,-115,-115,2,22,23,0,
1900,1900,0,133,-76,-72,3,22,23,0,
1900,1900,0,161,70,90,4,22,23,0,
1900,1900,0,382,382,393,5,22,23,0,
1900,1900,0,275,384,385,6,22,23,0,
1900,1900,0,244,317,319,7,22,23,0,
1900,1900,0,164,205,201,8,22,23,0,
1900,1900,0,121,84,84,9,22,23,0,
1900,1900,0,125,-3,-3,10,22,23,0,
1900,1900,0,118,9,9,11,22,23,0,
1900,1900,0,236,189,192,12,22,23,0,
1900,1900,0,353,401,406,13,22,23,0,
1900,1900,0,339,441,442,14,22,23,0,
1900,1900,0,334,441,434,15,22,23,0,
1900,1900,0,314,417,414,16,24,23,0,
1900,1900,0,293,387,389,17,24,23,0,
1900,1900,0,281,364,362,18,24,23,0,
1900,1900,0,281,364,362,18,24,23,0,
1900,1900,0,232,305,303,19,24,23,0,
1900,1900,0,162,200,198,20,24,23,0,
1900,1900,0,120,62,62,21,24,23,0,
1900,1900,0,127,-19,-18,22,24,23,0,
1900,1900,0,149,-67,-68,0,24,23,0,
1900,1900,0,172,-109,-110,1,24,23,0,
1900,1900,0,161,-112,-115,2,24,23,0,
1900,1900,0,123,-60,-76,3,24,23,0,
1900,1900,0,227,148,70,4,24,23,0,
1900,1900,0,313,391,382,5,24,23,0,
1900,1900,0,318,404,384,6,24,23,0,
1900,1900,0,227,315,317,7,24,23,0,
1900,1900,0,166,203,205,8,24,23,0,
1900,1900,0,121,85,84,9,24,23,0,
1900,1900,0,124,-4,-3,10,24,23,0,
1900,1900,0,117,6,9,11,24,23,0,
1900,1900,0,231,184,189,12,24,23,0,
1900,1900,0,353,401,401,13,24,23,0,
1900,1900,0,353,401,401,13,24,23,0,
1900,1900,0,334,438,441,14,24,23,0,
1900,1900,0,328,436,441,15,22,23,0,
1900,1900,0,312,412,417,16,22,23,0,
1900,1900,0,295,389,387,17,22,23,0,
1900,1900,0,280,364,364,18,22,23,0,
1900,1900,0,232,305,305,19,22,23,0,
1900,1900,0,163,200,200,20,22,23,0,
1900,1900,0,119,64,62,21,22,23,0,
1900,1900,0,126,-17,-19,22,22,23,0,
1900,1900,0,148,-67,-67,0,22,23,0,
1900,1900,0,172,-109,-109,1,22,23,0,
1900,1900,0,159,-110,-112,2,22,23,0,
1900,1900,0,120,-50,-60,3,22,23,0,
1900,1900,0,258,188,148,4,22,23,0,
1900,1900,0,325,402,391,5,22,23,0,
1900,1900,0,315,409,404,6,22,23,0,
1900,1900,0,221,310,315,7,22,23,0,
1900,1900,0,171,207,203,8,22,23,0,
1900,1900,0,121,86,85,9,22,23,0,
1900,1900,0,121,86,85,9,22,23,0,
1900,1900,0,125,-2,-4,10,22,23,0,
1900,1900,0,118,7,6,11,22,23,0,
1900,1900,0,236,185,184,12,22,23,0,
1900,1900,0,354,402,401,13,22,23,0,
1900,1900,0,334,438,438,14,22,23,0,
1900,1900,0,328,437,436,15,23,23,0,
1900,1900,0,314,414,412,16,23,23,0,
1900,1900,0,295,389,389,17,23,23,0,
1900,1900,0,282,366,364,18,23,23,0,
1900,1900,0,232,306,305,19,23,23,0,
1900,1900,0,163,201,200,20,23,23,0,
1900,1900,0,120,65,64,21,23,23,0,
1900,1900,0,127,-18,-17,22,23,23,0,
1900,1900,0,149,-66,-67,0,23,23,0,
1900,1900,0,172,-107,-109,1,23,23,0,
1900,1900,0,163,-114,-110,2,23,23,0,
1900,1900,0,132,-74,-50,3,23,23,0,
1900,1900,0,168,77,188,4,23,23,0,
1900,1900,0,168,77,188,4,23,23,0,
1900,1900,0,380,389,402,5,23,23,0,
1900,1900,0,276,384,409,6,23,23,0,
1900,1900,0,247,319,310,7,23,23,0,
1900,1900,0,162,205,207,8,23,23,0,
1900,1900,0,120,86,86,9,23,23,0,
1900,1900,0,125,-3,-2,10,23,23,0,
1900,1900,0,118,6,7,11,23,23,0,
